Description,Data.Sugar Total,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Fat.Saturated Fat
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",7.039999962,7.04,0.0,63,1.0
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",7.679999828,7.68,0.0,56,0.116
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",13.80000019,13.8,0.0,85,0.806
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",18.63999939,18.64,0.0,99,0.742
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",19.04999924,19.05,0.0,102,0.697
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",0.0,18.6,0.0,105,0.909
"EGG,WHOLE,RAW,FRESH",0.769999981,0.77,0.0,143,3.099
"EGG,WHITE,RAW,FRESH",0.709999979,0.73,0.0,48,0.0
"EGG,YOLK,RAW,FRSH",0.560000002,3.59,0.0,317,9.551
"EGG,YOLK,RAW,FROZEN",0.50999999,1.15,0.0,303,7.82
"EGG,YOLK,RAW,FRZ,SUGARED",0.0,10.8,0.0,307,6.97
"EGG,WHL,CKD,FRIED",0.829999983,0.88,0.0,196,4.294
"EGG,WHL,CKD,HARD-BOILED",1.120000005,1.12,0.0,155,3.267
"EGG,WHOLE,COOKED,OMELET",0.649999976,0.68,0.0,157,3.296
"EGG,WHL,CKD,POACHED",0.769999981,0.76,0.0,142,3.087
"EGG,WHL,CKD,SCRMBLD",1.730000019,2.2,0.0,167,3.679
"EGG,WHOLE,DRIED",3.079999924,4.95,0.0,594,12.727
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",0.0,2.38,0.0,615,13.198
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",4.170000076,4.17,0.0,351,0.0
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",4.46999979,4.47,0.0,376,0.0
"EGG,YOLK,DRIED",3.599999905,3.6,0.0,666,17.154
"EGG,DUCK,WHOLE,FRESH,RAW",0.930000007,1.45,0.0,185,3.681
"EGG,GOOSE,WHOLE,FRESH,RAW",0.939999998,1.35,0.0,185,3.595
"EGG,QUAIL,WHOLE,FRESH,RAW",0.409999996,0.41,0.0,158,3.557
"EGG,TURKEY,WHL,FRSH,RAW",0.0,1.15,0.0,171,3.632
"EGG SUBSTITUTE,FROZEN",3.200000048,3.2,0.0,160,1.93
"EGG SUBSTITUTE,LIQUID",0.639999986,0.64,0.0,84,0.659
"EGG SUBSTITUTE,POWDER",21.79999924,21.8,0.0,444,3.766
"BUTTER,WITHOUT SALT",0.059999999,0.06,0.0,717,51.368
"CHEESE,PARMESAN,SHREDDED",0.0,3.41,0.0,415,17.37
"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",0.50999999,1.6,0.0,375,19.694
"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",0.0,2.1,0.0,334,16.045
"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.429999828,7.29,0.0,328,15.443
"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",0.0,8.73,0.0,290,13.327
"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",5.090000153,4.85,0.0,35,0.117
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",0.0,5.49,0.0,56,1.232
"MILK,CND,EVAP,W/ VIT A",0.0,10.04,0.0,134,4.591
"MILK,DRY,NONFAT,REG,W/ VIT A",51.97999954,51.98,0.0,362,0.499
"MILK,DRY,NONFAT,INST,WO/ VIT A",52.18999863,52.19,0.0,358,0.47
"CHEESE,GOAT,HARD TYPE",2.170000076,2.17,0.0,452,24.609
"CHEESE,GOAT,SEMISOFT TYPE",2.539999962,2.54,0.0,364,20.639
"CHEESE,GOAT,SOFT TYPE",0.889999986,0.89,0.0,268,14.575
"EGG,YOLK,RAW,FRZ,SALTED",0.0,1.6,0.0,274,7.028
"CHEESE SUB,MOZZARELLA",23.67000008,23.67,0.0,248,3.711
CHEESE FONDUE,0.0,3.77,0.0,229,8.721
"CHEESE SAU,PREP FROM RECIPE",0.0,5.48,0.100000001,197,8.034
"CHEESE,MEXICAN,QUESO ANEJO",4.630000114,4.63,0.0,373,19.033
"CHEESE,MEXICAN,QUESO ASADERO",2.869999886,2.87,0.0,356,17.939
"CHEESE,MEXICAN,QUESO CHIHUAHUA",5.559999943,5.56,0.0,374,18.843
"CHEESE,LOFAT,CHEDDAR OR COLBY",0.519999981,1.91,0.0,173,4.342
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",0.49000001,1.91,0.0,398,20.768
"EGG,WHOLE,RAW,FROZEN",0.0,1.05,0.0,148,3.147
"EGG,WHITE,RAW,FROZEN",0.0,1.05,0.0,47,0.0
"EGG,WHITE,DRIED",5.400000095,7.8,0.0,382,0.0
"SOUR CREAM,REDUCED FAT",0.300000012,7.0,0.0,181,8.7
"SOUR CREAM,LIGHT",0.219999999,7.1,0.0,136,6.6
"SOUR CREAM,FAT FREE",0.389999986,15.6,0.0,74,0.0
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",0.579999983,2.0,0.0,282,11.6
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",7.5,7.5,0.0,47,0.116
"PARMESAN CHS TOPPING,FAT FREE",1.5,40.0,0.0,370,3.11
"CHEESE,CREAM,FAT FREE",5.480000019,7.66,0.0,105,0.644
"YOGURT,CHOC,NONFAT MILK",14.97000027,23.53,1.200000048,108,0.0
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,6.699999809,9.2,0.300000012,276,13.1
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,8.199999809,16.2,0.200000003,215,6.4
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,6.699999809,11.7,0.200000003,148,0.7
KRAFT VELVEETA PAST PROCESS CHS SPRD,8.100000381,9.8,0.0,303,14.4
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,8.5,11.8,0.0,222,7.1
KRAFT BREAKSTONE'S RED FAT SOUR CRM,6.400000095,6.5,0.100000001,152,7.6
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,7.199999809,15.1,0.0,91,0.8
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),17.39999962,18.2,0.200000003,96,0.5
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),19.60000038,21.9,0.200000003,108,0.5
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),17.20000076,19.9,0.300000012,102,0.5
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),7.699999809,9.9,0.0,55,0.1
"CREAM,HALF & HALF,FAT FREE",5.0,9.0,0.0,59,0.841
REDDI WIP FAT FREE WHIPPED TOPPING,16.0,25.0,0.400000006,149,2.869
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",9.550000191,12.13,0.699999988,78,1.177
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",2.900000095,18.6,0.0,105,0.909
"CHEESE,PARMESAN,DRY GRATED,RED FAT",0.0,1.37,0.0,265,13.317
"CREAM SUB,FLAV,LIQ",33.04000092,35.07,1.100000024,251,2.635
"CREAM SUB,FLAV,POWDERED",58.00999832,75.42,1.200000048,495,19.446
"CHEESE,PROVOLONE,RED FAT",0.550000012,3.5,0.0,274,11.3
"CHEESE,MEXICAN,BLEND,RED FAT",0.560000002,3.41,0.0,282,11.58
"EGG MIX,USDA CMDTY",2.460000038,23.97,0.0,549,10.305
"ALLSPICE,GROUND",0.0,72.12,21.60000038,263,2.55
ANISE SEED,0.0,50.02,14.60000038,337,0.586
"SPICES,BASIL,DRIED",1.710000038,60.96,40.5,251,0.24
"SPICES,BAY LEAF",0.0,74.97,26.29999924,313,2.28
CARAWAY SEED,0.639999986,49.9,38.0,333,0.62
"SPICES,CARDAMOM",0.0,68.47,28.0,311,0.68
CELERY SEED,0.670000017,41.35,11.80000019,392,2.19
"CHERVIL,DRIED",0.0,49.1,11.30000019,237,0.169
CHILI POWDER,7.190000057,54.66,34.20000076,314,2.953
"CINNAMON,GROUND",2.170000076,80.59,53.09999847,247,0.345
"CLOVES,GROUND",2.380000114,61.21,34.20000076,323,5.438
"CORIANDER LEAF,DRIED",7.269999981,52.1,10.39999962,279,0.115
CORIANDER SEED,0.0,54.99,41.90000153,298,0.99
